,AAPL,AAPL,AAPL,AAPL,AAPL,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,MSFT,MSFT,MSFT,MSFT,MSFT,AMZN,AMZN,AMZN,AMZN,AMZN,META,META,META,META,META
,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume
1999-11-01,80.0,80.69,77.37,77.62,2487300.0,,,,,,93.25,94.19,92.12,92.37,26630600.0,68.06,71.88,66.31,69.13,12824100.0,,,,,
1999-11-02,78.0,81.69,77.31,80.25,3564600.0,,,,,,92.75,94.5,91.94,92.56,23174500.0,69.75,70.0,65.06,66.44,13243200.0,,,,,
1999-11-03,81.62,83.25,81.0,81.5,2932700.0,,,,,,92.94,93.5,91.5,92.0,22258500.0,68.19,68.5,65.0,65.81,10772100.0,,,,,
1999-11-04,82.06,85.37,80.62,83.62,3384700.0,,,,,,92.31,92.75,90.31,91.75,27119700.0,67.19,67.19,61.0,63.06,16759200.0,,,,,
1999-11-05,84.62,88.37,84.0,88.31,3721500.0,,,,,,91.81,92.87,90.5,91.56,35083700.0,64.75,65.5,62.25,64.94,11091400.0,,,,,
1999-11-08,87.75,97.73,86.75,96.37,8490400.0,,,,,,84.81,90.75,84.37,89.94,121909600.0,64.81,80.0,63.5,78.0,32339400.0,,,,,
1999-11-09,94.37,94.5,88.0,89.62,7224800.0,,,,,,89.75,89.87,86.44,88.87,54884900.0,80.88,83.06,70.0,70.81,26477100.0,,,,,
1999-11-10,88.25,93.25,88.12,91.44,5159800.0,,,,,,88.12,89.12,86.44,87.12,34692700.0,71.56,75.0,70.13,72.0,11506700.0,,,,,
1999-11-11,91.59,92.62,89.87,92.25,2409600.0,,,,,,88.25,90.44,88.25,89.62,34637300.0,74.75,75.0,71.38,73.0,9293900.0,,,,,
1999-11-12,91.94,92.0,87.37,90.62,2491600.0,,,,,,89.75,90.0,87.06,89.19,24707100.0,73.75,75.0,70.81,74.94,10319600.0,,,,,
1999-11-15,89.62,92.87,88.5,89.44,2320600.0,,,,,,88.25,88.5,86.94,87.0,23540200.0,75.63,76.0,73.31,73.5,6437200.0,,,,,
1999-11-16,90.0,91.75,88.5,91.19,2088000.0,,,,,,86.94,87.75,85.87,87.31,29582600.0,74.25,79.63,73.75,78.94,15238700.0,,,,,
1999-11-17,90.69,94.75,90.0,90.25,3255100.0,,,,,,86.44,87.06,85.0,85.0,33409500.0,77.94,80.0,75.44,76.5,6657400.0,,,,,
1999-11-18,91.06,91.12,88.44,89.62,3257000.0,,,,,,84.94,85.81,84.5,84.94,32246600.0,76.75,78.19,75.25,77.94,5810400.0,,,,,
1999-11-19,89.5,92.87,88.06,92.44,2790300.0,,,,,,84.44,86.56,84.37,86.0,29113000.0,77.88,78.13,76.06,77.94,5760600.0,,,,,
1999-11-22,91.75,91.75,89.25,90.62,1806800.0,,,,,,89.62,90.37,88.44,89.81,45298300.0,77.88,82.5,76.0,80.5,10708400.0,,,,,
1999-11-23,91.75,95.25,88.5,92.81,4851000.0,,,,,,89.25,91.37,88.37,89.62,35393700.0,80.38,85.63,76.25,81.75,18332500.0,,,,,
1999-11-24,93.0,95.0,91.69,94.69,1920600.0,,,,,,89.56,92.25,89.5,91.69,26885500.0,84.25,87.75,83.25,87.25,14483100.0,,,,,
1999-11-26,94.75,95.5,94.12,95.06,1179200.0,,,,,,91.62,93.37,91.0,91.12,14257100.0,91.06,95.13,90.5,93.13,11496000.0,,,,,
1999-11-29,94.25,99.75,93.25,94.56,4144300.0,,,,,,90.12,92.06,89.5,90.19,25730100.0,95.5,96.88,90.13,90.44,18053700.0,,,,,
1999-11-30,98.12,103.75,97.37,97.87,7528400.0,,,,,,89.75,92.87,89.56,91.05,32072800.0,88.27,88.88,83.81,85.06,13465500.0,,,,,
